Damage,GammaDist,Probability,Percentile,DPS,Damage,Normal,Percentile
5632390,2.61228E-06,2.61228E-06,0.168628814,11842.7,5632390,2.58276E-06,0.168527608
5633364,2.63731E-06,2.63731E-06,0.171186216,11844.75,5633364,2.60754E-06,0.171056126
5634339,2.6623E-06,2.6623E-06,0.173767985,11846.8,5634339,2.6323E-06,0.17360878
5635313,2.68725E-06,2.68725E-06,0.176374085,11848.85,5635313,2.65703E-06,0.176185542
5636287,2.71215E-06,2.71215E-06,0.179004473,11850.9,5636287,2.68172E-06,0.17878638
5637262,2.73701E-06,2.73701E-06,0.181659102,11852.95,5637262,2.70637E-06,0.181411255
5638236,2.7618E-06,2.7618E-06,0.184337918,11855,5638236,2.73097E-06,0.184060125
5639210,2.78654E-06,2.78654E-06,0.187040863,11857.04,5639210,2.75553E-06,0.186732943
5640185,2.8112E-06,2.8112E-06,0.189767874,11859.09,5640185,2.78002E-06,0.189429655
5641159,2.83579E-06,2.83579E-06,0.192518881,11861.14,5641159,2.80445E-06,0.192150202
5642133,2.8603E-06,2.8603E-06,0.195293809,11863.19,5642133,2.82882E-06,0.194894521
5643107,2.88473E-06,2.88473E-06,0.198092579,11865.24,5643107,2.85311E-06,0.197662543
5644082,2.90907E-06,2.90907E-06,0.200915104,11867.29,5644082,2.87732E-06,0.200454193
5645056,2.93331E-06,2.93331E-06,0.203761294,11869.34,5645056,2.90144E-06,0.203269392
5646030,2.95744E-06,2.95744E-06,0.20663105,11871.38,5646030,2.92548E-06,0.206108054
5647005,2.98147E-06,2.98147E-06,0.209524272,11873.43,5647005,2.94942E-06,0.208970088
5647979,3.00539E-06,3.00539E-06,0.212440851,11875.48,5647979,2.97326E-06,0.211855399
5648953,3.02918E-06,3.02918E-06,0.215380673,11877.53,5648953,2.99699E-06,0.214763884
5649928,3.05285E-06,3.05285E-06,0.21834362,11879.58,5649928,3.02061E-06,0.217695438
5650902,3.07639E-06,3.07639E-06,0.221329566,11881.63,5650902,3.04411E-06,0.220649946
5651876,3.0998E-06,3.0998E-06,0.224338381,11883.68,5651876,3.06749E-06,0.223627292
5652851,3.12306E-06,3.12306E-06,0.227369929,11885.72,5652851,3.09073E-06,0.226627352
5653825,3.14617E-06,3.14617E-06,0.230424069,11887.77,5653825,3.11384E-06,0.229649997
5654799,3.16913E-06,3.16913E-06,0.233500654,11889.82,5654799,3.13682E-06,0.232695092
5655774,3.19193E-06,3.19193E-06,0.23659953,11891.87,5655774,3.15964E-06,0.235762498
5656748,3.21456E-06,3.21456E-06,0.239720539,11893.92,5656748,3.18231E-06,0.238852068
5657722,3.23702E-06,3.23702E-06,0.242863517,11895.97,5657722,3.20483E-06,0.241963652
5658697,3.25931E-06,3.25931E-06,0.246028296,11898.02,5658697,3.22718E-06,0.245097094
5659671,3.28141E-06,3.28141E-06,0.249214699,11900.07,5659671,3.24936E-06,0.248252231
5660645,3.30333E-06,3.30333E-06,0.252422547,11902.11,5660645,3.27137E-06,0.251428895
5661620,3.32505E-06,3.32505E-06,0.255651653,11904.16,5661620,3.29319E-06,0.254626915
5662594,3.34657E-06,3.34657E-06,0.258901826,11906.21,5662594,3.31484E-06,0.257846111
5663568,3.36788E-06,3.36788E-06,0.262172868,11908.26,5663568,3.33629E-06,0.2610863
5664543,3.38899E-06,3.38899E-06,0.265464578,11910.31,5664543,3.35754E-06,0.264347292
5665517,3.40988E-06,3.40988E-06,0.268776747,11912.36,5665517,3.37859E-06,0.267628894
5666491,3.43055E-06,3.43055E-06,0.272109162,11914.41,5666491,3.39943E-06,0.270930904
